from.id	from.cord	to.id	to.cord
0	0	80	3200000
81	3240000	92	3680000
93	3720000	125	5000000
126	5040000	177	7080000
178	7120000	214	8560000
215	8600000	226	9040000
227	9080000	249	9960000
250	10000000	262	10480000
263	10520000	305	12200000
306	12240000	327	13080000
328	13120000	353	14120000
354	14160000	384	15360000
462	18480000	465	18600000
467	18680000	478	19120000
622	24880000	630	25200000
674	26960000	739	29560000
740	29600000	808	32320000
809	32360000	830	33200000
831	33240000	896	35840000
897	35880000	954	38160000
955	38200000	996	39840000
997	39880000	1026	41040000
1027	41080000	1155	46200000
1156	46240000	1190	47600000
1191	47640000	1231	49240000
1232	49280000	1301	52040000
1305	52200000	1308	52320000
1309	52360000	1459	58360000
1460	58400000	1503	60120000
1504	60160000	1616	64640000
1617	64680000	1699	67960000
1700	68000000	1717	68680000
1718	68720000	1738	69520000
1739	69560000	1777	71080000
1778	71120000	1783	71320000
1784	71360000	1798	71920000
1799	71960000	1804	72160000
1808	72320000	1823	72920000
1824	72960000	1839	73560000
1840	73600000	1861	74440000
1862	74480000	1868	74720000
