from.id	from.cord	to.id	to.cord
5	200000	66	2640000
72	2880000	215	8600000
220	8800000	236	9440000
237	9480000	305	12200000
306	12240000	354	14160000
355	14200000	369	14760000
376	15040000	379	15160000
387	15480000	390	15600000
391	15640000	396	15840000
397	15880000	408	16320000
421	16840000	427	17080000
428	17120000	434	17360000
440	17600000	449	17960000
450	18000000	457	18280000
468	18720000	484	19360000
485	19400000	494	19760000
496	19840000	534	21360000
537	21480000	540	21600000
541	21640000	545	21800000
548	21920000	560	22400000
563	22520000	664	26560000
665	26600000	708	28320000
720	28800000	726	29040000
727	29080000	733	29320000
739	29560000	751	30040000
758	30320000	784	31360000
785	31400000	798	31920000
854	34160000	881	35240000
1159	46360000	1612	64480000
1613	64520000	1644	65760000
1645	65800000	1752	70080000
1753	70120000	1765	70600000
1766	70640000	1778	71120000
1779	71160000	1799	71960000
1833	73320000	1837	73480000
1875	75000000	1879	75160000
1881	75240000	1885	75400000
1897	75880000	1900	76000000
1906	76240000	1910	76400000
