from.id	from.cord	to.id	to.cord
4	160000	28	1120000
30	1200000	81	3240000
84	3360000	106	4240000
108	4320000	302	12080000
303	12120000	342	13680000
343	13720000	387	15480000
388	15520000	426	17040000
427	17080000	438	17520000
439	17560000	460	18400000
461	18440000	483	19320000
484	19360000	928	37120000
929	37160000	978	39120000
979	39160000	996	39840000
997	39880000	1018	40720000
1019	40760000	1091	43640000
1094	43760000	1153	46120000
1154	46160000	1204	48160000
1205	48200000	1269	50760000
1280	51200000	1289	51560000
1370	54800000	1373	54920000
1374	54960000	1382	55280000
1384	55360000	1387	55480000
1389	55560000	1392	55680000
1394	55760000	1398	55920000
1400	56000000	1403	56120000
1414	56560000	1423	56920000
1425	57000000	1428	57120000
1430	57200000	1438	57520000
1440	57600000	1443	57720000
1446	57840000	1451	58040000
1454	58160000	1457	58280000
1459	58360000	1466	58640000
1470	58800000	1476	59040000
1484	59360000	1487	59480000
1491	59640000	1506	60240000
1508	60320000	1527	61080000
1529	61160000	1532	61280000
1542	61680000	1560	62400000
1562	62480000	1567	62680000
1570	62800000	1586	63440000
1588	63520000	1613	64520000
1643	65720000	1647	65880000
1649	65960000	1655	66200000
1657	66280000	1660	66400000
1687	67480000	1691	67640000
1696	67840000	1742	69680000
1744	69760000	1750	70000000
1751	70040000	1774	70960000
1775	71000000	1793	71720000
1794	71760000	1835	73400000
1836	73440000	1841	73640000
1843	73720000	1864	74560000
1865	74600000	1889	75560000
1890	75600000	1927	77080000
1928	77120000	2077	83080000
2078	83120000	2099	83960000
2100	84000000	2128	85120000
2129	85160000	2191	87640000
2193	87720000	2198	87920000
2199	87960000	2236	89440000
2245	89800000	2257	90280000
2258	90320000	2284	91360000
2285	91400000	2298	91920000
2300	92000000	2343	93720000
2346	93840000	2351	94040000
2352	94080000	2406	96240000
2411	96440000	2446	97840000
2447	97880000	2477	99080000
2478	99120000	2501	100040000
2502	100080000	2513	100520000
2514	100560000	2517	100680000
2518	100720000	2521	100840000
2522	100880000	2541	101640000
2542	101680000	2588	103520000
2589	103560000	2631	105240000
2632	105280000	2683	107320000
2684	107360000	2867	114680000
2868	114720000	2896	115840000
2897	115880000	2949	117960000
2950	118000000	3024	120960000
3025	121000000	3061	122440000
3062	122480000	3090	123600000
3091	123640000	3120	124800000
3121	124840000	3262	130480000
