Chr	Start	End	Coordinate	ClosestTAD	Distance	TAD_Size
chr1	720000	2520000	(720000, 0)	(1320000, 0)	600000.0	1800000
chr1	4000000	4680000	(4000000, 0)	(4080000, 0)	80000.0	680000
chr1	4720000	6640000	(4720000, 0)	(4720000, 0)	0.0	1920000
chr1	19520000	21080000	(19520000, 0)	(19320000, 0)	200000.0	1560000
chr1	48600000	49120000	(48600000, 0)	(48440000, 0)	160000.0	520000
chr1	49160000	62160000	(49160000, 0)	(49440000, 0)	280000.0	13000000
chr2	3720000	4840000	(3720000, 0)	(3480000, 0)	240000.0	1120000
chr2	28000000	29200000	(28000000, 0)	(28480000, 0)	480000.0	1200000
chr2	43160000	44280000	(43160000, 0)	(42760000, 0)	400000.0	1120000
chr2	85200000	85960000	(85200000, 0)	(85600000, 0)	400000.0	760000
chr2	86000000	87120000	(86000000, 0)	(85600000, 0)	400000.0	1120000
chr2	98160000	103600000	(98160000, 0)	(98000000, 0)	160000.0	5440000
chr2	113160000	113400000	(113160000, 0)	(113000000, 0)	160000.0	240000
chr2	113640000	117200000	(113640000, 0)	(114080000, 0)	440000.0	3560000
chr2	135480000	137400000	(135480000, 0)	(134960000, 0)	520000.0	1920000
chr3	5320000	7240000	(5320000, 0)	(5480000, 0)	160000.0	1920000
chr3	7280000	8960000	(7280000, 0)	(6480000, 0)	800000.0	1680000
chr3	14200000	16640000	(14200000, 0)	(14120000, 0)	80000.0	2440000
chr3	45040000	45880000	(45040000, 0)	(44880000, 0)	160000.0	840000
chr3	47560000	48640000	(47560000, 0)	(47280000, 0)	280000.0	1080000
chr3	48680000	50320000	(48680000, 0)	(48640000, 0)	40000.0	1640000
chr3	50360000	52440000	(50360000, 0)	(49680000, 0)	680000.0	2080000
chr3	52480000	53920000	(52480000, 0)	(51680000, 0)	800000.0	1440000
chr3	58640000	66160000	(58640000, 0)	(58120000, 0)	520000.0	7520000
chr3	75800000	76000000	(75800000, 0)	(75320000, 0)	480000.0	200000
chr3	129800000	131000000	(129800000, 0)	(129320000, 0)	480000.0	1200000
chr3	172760000	176800000	(172760000, 0)	(172680000, 0)	80000.0	4040000
chr4	480000	1400000	(480000, 0)	(560000, 0)	80000.0	920000
chr4	1520000	3560000	(1520000, 0)	(1000000, 0)	520000.0	2040000
chr4	3600000	4160000	(3600000, 0)	(3480000, 0)	120000.0	560000
chr4	9360000	12840000	(9360000, 0)	(9680000, 0)	320000.0	3480000
chr5	66440000	68480000	(66440000, 0)	(65800000, 0)	640000.0	2040000
chr5	78800000	80960000	(78800000, 0)	(79800000, 0)	1000000.0	2160000
chr6	15840000	18480000	(15840000, 0)	(16200000, 0)	360000.0	2640000
chr6	152120000	153520000	(152120000, 0)	(151360000, 0)	760000.0	1400000
chr6	159360000	164800000	(159360000, 0)	(160040000, 0)	680000.0	5440000
chr7	44120000	48320000	(44120000, 0)	(44680000, 0)	560000.0	4200000
chr7	55120000	56280000	(55120000, 0)	(54680000, 0)	440000.0	1160000
