Chr	Start	End	DCI_Score
chr10	102680000	102720000	7.344277199191786
chr10	103360000	103400000	7.285570455032753
chr10	115080000	115120000	7.003134208377571
chr10	118800000	118840000	8.435503575996599
chr10	119240000	119280000	7.355296714746264
chr10	119400000	119440000	7.234358437429585
chr10	119440000	119480000	8.000933413451605
chr10	119480000	119520000	7.372853279683379
chr10	119880000	119920000	8.564741829478319
chr10	124600000	124640000	9.257155672966144
chr10	125760000	125800000	8.138883652174728
chr10	127000000	127040000	9.703133553094238
chr10	128880000	128920000	7.980370363768969
chr10	128920000	128960000	8.250354835229642
chr10	128960000	129000000	8.613726649202567
chr10	130320000	130360000	7.298585360300316
chr10	130360000	130400000	10.267624916172817
chr10	130400000	130440000	7.511315346430215
chr10	130440000	130480000	9.2621212814242
chr10	130480000	130520000	7.561073385379045
chr10	130520000	130560000	10.163667102044617
chr10	130560000	130600000	7.472400888409245
chr10	130600000	130640000	9.902453638070211
chr10	130640000	130680000	10.692137978367803
chr10	130680000	130720000	8.828386901879528
chr10	130720000	130760000	10.925536365745973
chr10	130800000	130840000	10.054267450384225
chr10	130880000	130920000	10.153718947888548
chr10	131040000	131080000	11.094061627890536
chr10	131120000	131160000	8.186949228714875
chr10	131160000	131200000	7.1512880942915125
chr10	131200000	131240000	9.875794452149012
chr10	131240000	131280000	7.035918413255553
chr10	131280000	131320000	10.929100468766132
chr10	131560000	131600000	8.98391148999267
chr10	131600000	131640000	9.851106356371027
chr10	131640000	131680000	9.742548321052988
chr10	131680000	131720000	7.058297808841765
chr10	131760000	131800000	7.266504942609951
chr10	28640000	28680000	7.346851299106014
chr10	3160000	3200000	9.214540546298746
chr10	32040000	32080000	7.44245181012594
chr10	32160000	32200000	7.936587812173184
chr10	32200000	32240000	9.436619087528738
chr10	37040000	37080000	7.492473788781037
chr10	37120000	37160000	7.574799644552613
chr10	37200000	37240000	8.101398495020907
chr10	37280000	37320000	10.60214490746571
chr10	37400000	37440000	7.4042303548409345
chr10	37440000	37480000	14.624569573767548
chr10	37600000	37640000	8.850476701583275
chr10	37680000	37720000	10.688006587216556
chr10	37720000	37760000	7.689790994844512
chr10	37760000	37800000	8.359594968848594
chr10	37800000	37840000	11.866990555016727
chr10	38320000	38360000	8.579551976787236
chr10	42240000	42280000	7.944640168875457
chr10	42400000	42440000	7.831842932635876
chr10	42560000	42600000	8.23582197942835
chr10	43080000	43120000	9.712391334885556
chr10	43440000	43480000	11.88561095711023
chr10	43560000	43600000	8.278391993891635
chr10	43600000	43640000	7.961241369265706
chr10	45320000	45360000	7.091156133325155
chr10	49520000	49560000	7.352053902754037
chr10	5600000	5640000	9.462616412131798
chr10	5800000	5840000	8.332519099205385
chr10	58080000	58120000	8.534383636835871
chr10	67600000	67640000	7.467295247726918
chr10	69160000	69200000	7.321580657266095
chr10	73800000	73840000	8.28292867289681
chr10	79200000	79240000	7.259625892997934
chr10	84960000	85000000	7.694929068875765
chr10	85000000	85040000	8.8600075508362
chr10	85120000	85160000	9.734911618985286
chr10	85840000	85880000	8.63024621212123
chr10	87000000	87040000	8.265627229903481
chr10	920000	960000	7.470532311087023
chr11	102400000	102440000	7.613807705977947
chr11	11320000	11360000	7.627803974031908
chr11	114240000	114280000	8.417870099808352
chr11	1160000	1200000	9.09123970660062
chr11	117160000	117200000	7.4047159666456155
chr11	117280000	117320000	7.944927151904347
chr11	117320000	117360000	7.016831262756251
chr11	1200000	1240000	11.363066580730626
chr11	1240000	1280000	7.5019924796930635
chr11	130160000	130200000	8.254669952586243
chr11	1400000	1440000	10.575961201221627
chr11	1480000	1520000	7.940866894997921
chr11	1720000	1760000	7.629255505639024
chr11	2800000	2840000	7.77354009221892
chr11	34080000	34120000	7.036068848127036
chr11	34120000	34160000	9.513400562345561
chr11	4080000	4120000	10.623050063145687
