Chr	Start	End	DCI_Score
chr10	102160000	102200000	7.666735989134081
chr10	125000000	125040000	8.939163974658733
chr10	127000000	127040000	8.033592397032283
chr10	127040000	127080000	7.918347999709872
chr10	128880000	128920000	7.076244109585964
chr10	129680000	129720000	11.754519520396874
chr10	130280000	130320000	7.360244151008666
chr10	130360000	130400000	7.85580451540164
chr10	130400000	130440000	8.71308807864054
chr10	130440000	130480000	12.457417726890988
chr10	130480000	130520000	8.758621419534657
chr10	130520000	130560000	7.152918978107032
chr10	130560000	130600000	9.42813551479073
chr10	130600000	130640000	7.494607117612474
chr10	130640000	130680000	8.713423831391943
chr10	130680000	130720000	10.288234683320487
chr10	130720000	130760000	7.662298133556986
chr10	130760000	130800000	8.862895514405514
chr10	130800000	130840000	15.965376172822912
chr10	130840000	130880000	10.714670885933046
chr10	130960000	131000000	7.963251785703991
chr10	131120000	131160000	10.335879163770137
chr10	131160000	131200000	7.0738916174944055
chr10	131200000	131240000	13.696621112349238
chr10	131280000	131320000	11.613435084085893
chr10	131320000	131360000	7.542560751616902
chr10	131400000	131440000	7.980537060448235
chr10	131440000	131480000	8.601789856044347
chr10	131640000	131680000	8.919031009663025
chr10	37680000	37720000	9.232313026757689
chr10	37720000	37760000	7.955092584875697
chr10	37760000	37800000	11.906415370852814
chr10	37800000	37840000	10.101505677053284
chr10	37880000	37920000	10.758009232418344
chr10	37960000	38000000	7.280334166073079
chr10	38040000	38080000	8.262691883027356
chr10	38120000	38160000	9.003766305449718
chr10	38160000	38200000	8.819553233742319
chr10	38200000	38240000	7.779797121410207
chr10	38280000	38320000	9.64882942308676
chr10	42480000	42520000	10.000885486483066
chr10	43480000	43520000	7.38642557969598
chr10	43520000	43560000	7.850253011474535
chr10	43600000	43640000	8.203285318428767
chr10	44040000	44080000	7.2409446699388536
chr10	45320000	45360000	7.114972322953867
chr10	54240000	54280000	7.145598700213327
chr10	70560000	70600000	7.3629698543265745
chr10	73800000	73840000	8.84950258289379
chr10	79200000	79240000	7.324629776044643
chr10	84880000	84920000	8.059366927487677
chr10	85120000	85160000	8.338531917671395
chr10	99800000	99840000	7.1866146419931605
chr11	10760000	10800000	7.797986312747485
chr11	1080000	1120000	11.703053569797028
chr11	1160000	1200000	8.50763226641676
chr11	117240000	117280000	7.896778657562602
chr11	1200000	1240000	9.545821059855351
chr11	1320000	1360000	7.234310079368209
chr11	2600000	2640000	7.1509285467723975
chr11	2880000	2920000	9.568175106240048
chr11	360000	400000	7.729785336325504
chr11	39680000	39720000	7.470540041560023
chr11	400000	440000	7.859112725504037
chr11	4080000	4120000	7.817625662134763
chr11	440000	480000	7.220166222861391
chr11	46680000	46720000	8.445601463122022
chr11	47320000	47360000	7.147198506280004
chr11	480000	520000	7.499309090760843
chr11	48280000	48320000	9.93498958306859
chr11	48640000	48680000	7.013773089801428
chr11	49120000	49160000	9.613377869484337
chr11	49200000	49240000	8.40722926449259
chr11	49280000	49320000	8.421181718538298
chr11	49360000	49400000	8.516645373647641
chr11	49680000	49720000	7.8742505649083485
chr11	49880000	49920000	8.885545833652065
chr11	49960000	50000000	8.72222295065558
chr11	50040000	50080000	7.226686102587296
chr11	50160000	50200000	8.771663582047989
chr11	50200000	50240000	7.218558601680898
chr11	520000	560000	8.784296323195981
chr11	54720000	54760000	9.109297999723394
chr11	55320000	55360000	7.305176335215335
chr11	55400000	55440000	10.338161594559477
chr11	55440000	55480000	8.186580160774875
chr11	55480000	55520000	9.118939563538516
chr11	55520000	55560000	7.1115308017286365
chr11	65080000	65120000	8.783330737053136
chr11	65600000	65640000	8.574058353327842
chr11	66240000	66280000	7.5313864016868175
chr11	67440000	67480000	7.115737900853862
chr11	71880000	71920000	7.2799161499438165
chr11	75400000	75440000	7.081112946566077
chr11	800000	840000	7.475161664510754
chr11	97920000	97960000	8.751688710571411
chr12	10320000	10360000	8.767347613290742
chr12	112160000	112200000	7.441618210036357
chr12	11480000	11520000	8.138169360489107
chr12	121240000	121280000	7.139428926114325
chr12	122200000	122240000	9.86578653241775
chr12	124320000	124360000	8.921744290754203
chr12	124360000	124400000	8.619196160233654
chr12	124400000	124440000	8.807968557895911
chr12	125960000	126000000	7.051702702474114
chr12	126000000	126040000	8.601101697576858
chr12	126720000	126760000	11.121025618063841
chr12	127280000	127320000	9.163117329276536
chr12	127320000	127360000	8.373964993882872
chr12	127480000	127520000	7.995680227237827
chr12	127600000	127640000	7.8705490809285035
chr12	127720000	127760000	8.042860667059088
chr12	127880000	127920000	7.3796730063725775
chr12	12800000	12840000	7.551859881086369
chr12	128040000	128080000	8.400601749794031
chr12	128200000	128240000	8.368679575369843
chr12	128320000	128360000	7.639905335731125
chr12	128400000	128440000	7.190904398055077
chr12	128440000	128480000	8.11870007812111
chr12	128480000	128520000	9.774766797349226
chr12	128520000	128560000	8.988076466503127
chr12	128560000	128600000	7.294029545888804
chr12	128600000	128640000	8.465080323836247
chr12	128640000	128680000	10.420818173501145
chr12	128720000	128760000	7.350404559873921
chr12	128760000	128800000	7.213634344307531
chr12	128840000	128880000	7.348902393536779
chr12	128960000	129000000	7.3350891312438025
chr12	129000000	129040000	7.80576429933476
chr12	129080000	129120000	9.970675163693306
chr12	129160000	129200000	7.140190497198344
chr12	129280000	129320000	11.42378081715701
chr12	129320000	129360000	7.688147741264652
chr12	129440000	129480000	8.533435744468836
chr12	129480000	129520000	7.4363407353507585
chr12	129600000	129640000	9.561927066995837
chr12	129640000	129680000	10.873875832594663
chr12	129680000	129720000	7.232061929320923
chr12	129720000	129760000	7.2709563255051695
chr12	129760000	129800000	7.3462736672876465
chr12	129840000	129880000	8.301282978913394
chr12	129880000	129920000	9.890926210039312
chr12	129920000	129960000	8.283123481772183
chr12	130040000	130080000	12.832611198733106
chr12	130080000	130120000	10.058537197205752
chr12	130160000	130200000	8.09277392747428
chr12	130200000	130240000	10.506910593200518
chr12	130240000	130280000	8.86906051251669
chr12	130360000	130400000	10.076925108067996
chr12	130440000	130480000	7.969262554643183
chr12	130480000	130520000	12.738699538090419
chr12	130520000	130560000	8.027364108888934
chr12	130600000	130640000	10.51597438831266
chr12	130640000	130680000	8.086396664303917
chr12	130680000	130720000	7.146216476727194
chr12	131000000	131040000	8.160421822070035
chr12	132040000	132080000	9.538186775850157
chr12	132600000	132640000	7.893990834140563
chr12	132640000	132680000	7.340168522320423
chr12	132920000	132960000	7.077044449113887
chr12	240000	280000	7.635907673319763
chr12	3040000	3080000	8.485665357738448
chr12	31640000	31680000	11.450362031151075
chr12	32680000	32720000	8.907191647232024
chr12	34080000	34120000	8.01690640115659
chr12	34320000	34360000	11.295278188617369
chr12	34680000	34720000	7.469024313253082
chr12	37520000	37560000	9.367131177587648
chr12	37760000	37800000	7.410192529846505
chr12	38200000	38240000	8.050880361943907
chr12	38880000	38920000	7.399592009889494
chr12	39400000	39440000	7.018198258541875
chr12	41240000	41280000	8.609849934867805
chr12	43360000	43400000	9.674558062579976
chr12	49520000	49560000	9.215046697407383
chr12	49560000	49600000	10.951450383201346
chr12	49760000	49800000	7.432279846101945
chr12	50680000	50720000	8.721004158715127
chr12	50720000	50760000	7.4947252847462575
chr12	5120000	5160000	7.065172277233994
chr12	82000000	82040000	7.715903498905866
chr13	112840000	112880000	7.428922980299045
chr13	113920000	113960000	8.678317559898401
chr13	18720000	18760000	8.11301005408387
chr13	18800000	18840000	9.888002531215008
chr13	18880000	18920000	8.297611884534799
chr13	18960000	19000000	13.201092708734937
chr13	19000000	19040000	7.918398401480408
chr13	19040000	19080000	10.708529276543645
chr13	19120000	19160000	11.574177164573245
chr13	19160000	19200000	9.623586093199432
chr13	19200000	19240000	12.518610822791345
chr13	19280000	19320000	7.793608781823876
chr13	19360000	19400000	8.443076481365624
chr13	19480000	19520000	7.437238500219223
chr13	19520000	19560000	7.587484524035146
chr13	19560000	19600000	7.832031206833284
chr13	19840000	19880000	7.027031562972468
chr13	19880000	19920000	7.207432671629737
chr13	22960000	23000000	7.212593394252733
chr13	25520000	25560000	7.965238238962345
chr13	26160000	26200000	7.057350422151037
chr13	30880000	30920000	7.251204194394433
chr13	32720000	32760000	8.006883162959571
chr13	33800000	33840000	7.76533630446925
chr13	40680000	40720000	9.440229454208724
chr13	46760000	46800000	9.720283886096993
chr14	100160000	100200000	8.31198258749282
chr14	101680000	101720000	8.78333772688615
chr14	102920000	102960000	9.712463083343918
chr14	103480000	103520000	7.969163914101389
chr14	105360000	105400000	7.154418306206031
chr14	105520000	105560000	7.955496232668509
chr14	105760000	105800000	10.037109052057883
chr14	105840000	105880000	8.882648652528028
chr14	105880000	105920000	7.068455692154143
chr14	106000000	106040000	8.263364967800912
chr14	106600000	106640000	9.299344298026604
chr14	19840000	19880000	7.424253288129313
chr14	31600000	31640000	7.39562988233879
chr14	31640000	31680000	7.775154402091503
chr14	33040000	33080000	7.168273767216857
chr14	34400000	34440000	7.709385297797108
chr14	43120000	43160000	8.267133457088862
chr14	47600000	47640000	7.0580966650634105
chr14	48440000	48480000	7.290900399653058
chr14	48600000	48640000	8.341954725658416
chr14	92400000	92440000	7.468408760752566
chr15	23920000	23960000	8.029238322636951
chr15	23960000	24000000	7.607787378450505
chr15	24080000	24120000	7.714077845383309
chr15	24440000	24480000	7.244771289126509
chr15	24520000	24560000	7.489802272727137
chr15	25120000	25160000	9.639842302300293
chr15	25160000	25200000	8.220855433120008
chr15	25200000	25240000	8.219997451030583
chr15	25240000	25280000	7.087826717151809
chr15	43080000	43120000	8.574883815973376
chr15	43120000	43160000	8.017816801605617
chr15	47080000	47120000	8.648405695880218
chr15	54160000	54200000	7.678155531895795
chr15	54800000	54840000	8.82590314550344
chr15	54840000	54880000	8.27138746702886
chr15	62720000	62760000	7.267377327679662
chr15	72160000	72200000	7.775179042811486
chr15	72320000	72360000	7.718973773390258
chr15	86840000	86880000	7.721351195510974
chr15	88560000	88600000	7.005675866674966
chr16	1400000	1440000	8.25484362136836
chr16	1520000	1560000	10.767132259932916
chr16	1760000	1800000	7.263952167109598
chr16	2160000	2200000	8.331051155583525
chr16	25600000	25640000	7.239642597299229
chr16	25680000	25720000	7.155099992610512
chr16	25760000	25800000	10.18837451642909
chr16	25960000	26000000	8.336606180342988
chr16	26600000	26640000	7.327655125578759
chr16	26720000	26760000	8.222189439962733
chr16	26760000	26800000	8.40822117735878
chr16	27120000	27160000	7.025774841889078
chr16	27480000	27520000	7.396246667815262
chr16	30720000	30760000	8.218846001950928
chr16	30760000	30800000	7.5799890118226205
chr16	31280000	31320000	8.234140232142758
chr16	31400000	31440000	7.319895673666839
chr16	35320000	35360000	7.266315191825652
chr16	35360000	35400000	8.213229651792185
chr16	35480000	35520000	7.095317759479692
chr16	5760000	5800000	8.034288686019543
chr16	5800000	5840000	10.575643138275034
chr16	5920000	5960000	12.070368364889555
chr16	6080000	6120000	7.191816537021482
chr16	6280000	6320000	7.992335206362706
chr16	6360000	6400000	8.606263165831788
chr16	640000	680000	7.4589793176175725
chr16	6480000	6520000	7.127493988855635
chr16	67200000	67240000	7.00133929986429
chr16	6800000	6840000	8.011542020681153
chr16	7160000	7200000	7.954598296049089
chr16	7240000	7280000	11.37384952843383
chr16	7320000	7360000	8.30901532473395
chr16	7640000	7680000	7.422287538051848
chr16	7680000	7720000	8.374903999536404
chr16	7720000	7760000	8.723035701462058
chr16	7880000	7920000	9.556008742450764
chr16	78840000	78880000	7.856304623985201
chr16	78920000	78960000	10.570695764717494
chr16	79000000	79040000	7.596340135068887
chr16	79160000	79200000	8.819115966346212
chr16	79320000	79360000	8.568617664060417
chr16	79480000	79520000	7.090371443126659
chr16	80160000	80200000	7.882939093027192
chr16	80280000	80320000	7.946602136774246
chr16	80400000	80440000	8.772917427317353
chr16	80480000	80520000	10.083650613326542
chr16	80520000	80560000	8.362738576793857
chr16	80600000	80640000	8.10386734003868
chr16	8080000	8120000	11.830084881864936
chr16	86520000	86560000	8.084236095023517
chr16	87320000	87360000	8.419986469858662
chr16	89240000	89280000	8.79641935488982
chr16	89880000	89920000	9.778414408310633
chr16	89920000	89960000	7.670795896372653
chr16	89960000	90000000	7.8228771488808695
chr17	1000000	1040000	9.573288285495574
chr17	1040000	1080000	7.0795109933660445
chr17	1080000	1120000	10.046935086261506
chr17	1120000	1160000	9.898420064190383
chr17	11320000	11360000	7.446192514122767
chr17	11440000	11480000	7.066037136503057
chr17	11560000	11600000	7.03100362666033
chr17	1440000	1480000	7.189517725932469
chr17	18080000	18120000	7.968723777035044
chr17	21560000	21600000	9.463459204377708
chr17	28320000	28360000	7.829617224119331
