Chr	Start	End	Coordinate	ClosestTAD	Distance	TAD_Size
chr1	720000	2520000	(720000, 0)	(1320000, 0)	600000.0	1800000
chr1	4000000	4600000	(4000000, 0)	(4080000, 0)	80000.0	600000
chr1	4640000	6760000	(4640000, 0)	(4600000, 0)	40000.0	2120000
chr1	18880000	21120000	(18880000, 0)	(19320000, 0)	440000.0	2240000
chr1	48720000	49080000	(48720000, 0)	(48440000, 0)	280000.0	360000
chr1	49120000	63960000	(49120000, 0)	(49440000, 0)	320000.0	14840000
chr2	2000000	3800000	(2000000, 0)	(1800000, 0)	200000.0	1800000
chr2	3840000	4280000	(3840000, 0)	(3480000, 0)	360000.0	440000
chr2	28000000	29200000	(28000000, 0)	(28480000, 0)	480000.0	1200000
chr2	42640000	43120000	(42640000, 0)	(42760000, 0)	120000.0	480000
chr2	85400000	86720000	(85400000, 0)	(85600000, 0)	200000.0	1320000
chr2	98160000	105760000	(98160000, 0)	(98000000, 0)	160000.0	7600000
chr2	113160000	113640000	(113160000, 0)	(113000000, 0)	160000.0	480000
chr2	113840000	117560000	(113840000, 0)	(114080000, 0)	240000.0	3720000
chr2	135520000	138040000	(135520000, 0)	(134960000, 0)	560000.0	2520000
chr2	202200000	202600000	(202200000, 0)	(202560000, 0)	360000.0	400000
chr3	5320000	7240000	(5320000, 0)	(5480000, 0)	160000.0	1920000
chr3	7280000	14520000	(7280000, 0)	(6480000, 0)	800000.0	7240000
chr3	14560000	16360000	(14560000, 0)	(14120000, 0)	440000.0	1800000
chr3	45040000	45760000	(45040000, 0)	(44880000, 0)	160000.0	720000
chr3	47680000	50320000	(47680000, 0)	(47840000, 0)	160000.0	2640000
chr3	50360000	52000000	(50360000, 0)	(49680000, 0)	680000.0	1640000
chr3	52040000	53440000	(52040000, 0)	(51680000, 0)	360000.0	1400000
chr3	58600000	66160000	(58600000, 0)	(58120000, 0)	480000.0	7560000
chr3	75880000	76000000	(75880000, 0)	(75320000, 0)	560000.0	120000
chr3	128480000	129480000	(128480000, 0)	(128880000, 0)	400000.0	1000000
chr3	129520000	129720000	(129520000, 0)	(129320000, 0)	200000.0	200000
chr3	173520000	173640000	(173520000, 0)	(172680000, 0)	840000.0	120000
chr4	0	1400000	(0, 0)	(560000, 0)	560000.0	1400000
chr4	1480000	5800000	(1480000, 0)	(1000000, 0)	480000.0	4320000
chr4	9360000	14800000	(9360000, 0)	(9680000, 0)	320000.0	5440000
chr4	159040000	163960000	(159040000, 0)	(159800000, 0)	760000.0	4920000
chr5	66480000	67880000	(66480000, 0)	(65800000, 0)	680000.0	1400000
chr5	79040000	80760000	(79040000, 0)	(79800000, 0)	760000.0	1720000
chr6	15840000	17040000	(15840000, 0)	(16200000, 0)	360000.0	1200000
chr6	159400000	164840000	(159400000, 0)	(160040000, 0)	640000.0	5440000
chr7	43760000	48320000	(43760000, 0)	(44680000, 0)	920000.0	4560000
chr7	57120000	58000000	(57120000, 0)	(57200000, 0)	80000.0	880000
chr7	63240000	64960000	(63240000, 0)	(63880000, 0)	640000.0	1720000
chr7	65160000	67160000	(65160000, 0)	(64840000, 0)	320000.0	2000000
chr7	67240000	68040000	(67240000, 0)	(67800000, 0)	560000.0	800000
chr7	68080000	69120000	(68080000, 0)	(68080000, 0)	0.0	1040000
chr7	69400000	70000000	(69400000, 0)	(69240000, 0)	160000.0	600000
chr8	2200000	3920000	(2200000, 0)	(2600000, 0)	400000.0	1720000
chr8	4040000	4960000	(4040000, 0)	(4120000, 0)	80000.0	920000
chr8	5000000	6800000	(5000000, 0)	(4600000, 0)	400000.0	1800000
chr8	43120000	43800000	(43120000, 0)	(43120000, 0)	0.0	680000
chr8	46840000	47240000	(46840000, 0)	(46760000, 0)	80000.0	400000
chr8	47360000	59680000	(47360000, 0)	(47760000, 0)	400000.0	12320000
chr8	96120000	96480000	(96120000, 0)	(96320000, 0)	200000.0	360000
chr8	96520000	109000000	(96520000, 0)	(96320000, 0)	200000.0	12480000
chr8	122600000	126760000	(122600000, 0)	(122640000, 0)	40000.0	4160000
chr8	133800000	135320000	(133800000, 0)	(133480000, 0)	320000.0	1520000
chr9	6440000	7560000	(6440000, 0)	(6760000, 0)	320000.0	1120000
chr9	16200000	17560000	(16200000, 0)	(16200000, 0)	0.0	1360000
chr9	32840000	34000000	(32840000, 0)	(33000000, 0)	160000.0	1160000
chr10	38720000	38840000	(38720000, 0)	(37800000, 0)	920000.0	120000
chr10	43600000	43760000	(43600000, 0)	(43440000, 0)	160000.0	160000
chr10	45640000	46000000	(45640000, 0)	(45360000, 0)	280000.0	360000
chr10	127320000	127920000	(127320000, 0)	(127000000, 0)	320000.0	600000
chr10	127960000	128600000	(127960000, 0)	(128880000, 0)	920000.0	640000
chr11	160000	1120000	(160000, 0)	(520000, 0)	360000.0	960000
chr11	1200000	3240000	(1200000, 0)	(1200000, 0)	0.0	2040000
chr11	4320000	12080000	(4320000, 0)	(4160000, 0)	160000.0	7760000
chr11	71720000	72800000	(71720000, 0)	(71880000, 0)	160000.0	1080000
chr12	31440000	32960000	(31440000, 0)	(31640000, 0)	200000.0	1520000
chr12	34280000	34840000	(34280000, 0)	(34320000, 0)	40000.0	560000
chr12	37840000	46800000	(37840000, 0)	(37400000, 0)	440000.0	8960000
chr12	127400000	128400000	(127400000, 0)	(127880000, 0)	480000.0	1000000
chr12	128440000	130520000	(128440000, 0)	(128440000, 0)	0.0	2080000
chr13	19160000	39320000	(19160000, 0)	(19160000, 0)	0.0	20160000
chr14	20120000	39080000	(20120000, 0)	(19800000, 0)	320000.0	18960000
chr16	8800000	9360000	(8800000, 0)	(8280000, 0)	520000.0	560000
chr16	30320000	31080000	(30320000, 0)	(30720000, 0)	400000.0	760000
chr17	680000	2200000	(680000, 0)	(1040000, 0)	360000.0	1520000
chr17	5040000	6920000	(5040000, 0)	(5120000, 0)	80000.0	1880000
chr17	18240000	18920000	(18240000, 0)	(18080000, 0)	160000.0	680000
chr18	13040000	13760000	(13040000, 0)	(13040000, 0)	0.0	720000
chr18	14200000	15400000	(14200000, 0)	(14320000, 0)	120000.0	1200000
chr19	23920000	24560000	(23920000, 0)	(23880000, 0)	40000.0	640000
chr20	17560000	20040000	(17560000, 0)	(18000000, 0)	440000.0	2480000
chr20	42920000	43640000	(42920000, 0)	(42960000, 0)	40000.0	720000
chr20	43680000	44800000	(43680000, 0)	(43240000, 0)	440000.0	1120000
chr20	56720000	59560000	(56720000, 0)	(55880000, 0)	840000.0	2840000
chr21	28560000	32440000	(28560000, 0)	(29000000, 0)	440000.0	3880000
