from.id	from.cord	to.id	to.cord
4	160000	7	280000
8	320000	27	1080000
28	1120000	71	2840000
72	2880000	119	4760000
120	4800000	127	5080000
128	5120000	149	5960000
151	6040000	160	6400000
161	6440000	189	7560000
190	7600000	258	10320000
259	10360000	282	11280000
285	11400000	377	15080000
378	15120000	395	15800000
396	15840000	404	16160000
405	16200000	439	17560000
440	17600000	497	19880000
498	19920000	515	20600000
516	20640000	531	21240000
532	21280000	703	28120000
704	28160000	808	32320000
813	32520000	817	32680000
821	32840000	850	34000000
852	34080000	867	34680000
869	34760000	888	35520000
897	35880000	900	36000000
902	36080000	938	37520000
939	37560000	969	38760000
975	39000000	979	39160000
1102	44080000	1105	44200000
1119	44760000	1122	44880000
1708	68320000	1712	68480000
1773	70920000	1832	73280000
1834	73360000	2308	92320000
2317	92680000	2593	103720000
2594	103760000	2605	104200000
2607	104280000	2641	105640000
2642	105680000	2659	106360000
2660	106400000	2746	109840000
2747	109880000	2750	110000000
