from.id	from.cord	to.id	to.cord
5	200000	41	1640000
42	1680000	75	3000000
76	3040000	88	3520000
89	3560000	92	3680000
93	3720000	108	4320000
109	4360000	169	6760000
170	6800000	331	13240000
332	13280000	336	13440000
337	13480000	356	14240000
357	14280000	395	15800000
396	15840000	426	17040000
427	17080000	513	20520000
514	20560000	613	24520000
614	24560000	667	26680000
670	26800000	713	28520000
714	28560000	731	29240000
732	29280000	744	29760000
745	29800000	767	30680000
768	30720000	798	31920000
800	32000000	806	32240000
808	32320000	811	32440000
813	32520000	820	32800000
822	32880000	845	33800000
846	33840000	891	35640000
892	35680000	897	35880000
899	35960000	939	37560000
940	37600000	975	39000000
976	39040000	1007	40280000
1008	40320000	1014	40560000
1015	40600000	1071	42840000
1072	42880000	1114	44560000
1115	44600000	1118	44720000
1119	44760000	1158	46320000
1159	46360000	1198	47920000
1199	47960000	1247	49880000
1248	49920000	1252	50080000
1253	50120000	1266	50640000
1268	50720000	1292	51680000
1294	51760000	1344	53760000
1346	53840000	1375	55000000
1377	55080000	1384	55360000
1386	55440000	1415	56600000
1416	56640000	1438	57520000
1439	57560000	1451	58040000
1453	58120000	1469	58760000
1547	61880000	1552	62080000
1554	62160000	1767	70680000
1768	70720000	1771	70840000
1772	70880000	2015	80600000
2016	80640000	2028	81120000
2029	81160000	2299	91960000
2303	92120000	2328	93120000
2329	93160000	2345	93800000
2346	93840000	2353	94120000
2354	94160000	2391	95640000
2396	95840000	2460	98400000
2462	98480000	2514	100560000
2515	100600000	2518	100720000
2519	100760000	2540	101600000
2541	101640000	2561	102440000
2562	102480000	2565	102600000
2566	102640000	2574	102960000
2575	103000000	2774	110960000
2775	111000000	2797	111880000
2798	111920000	2812	112480000
2814	112560000	2881	115240000
2882	115280000	2901	116040000
2902	116080000	3149	125960000
3151	126040000	3161	126440000
3162	126480000	3185	127400000
3187	127480000	3192	127680000
3193	127720000	3404	136160000
3405	136200000	3413	136520000
3414	136560000	3750	150000000
3751	150040000	3754	150160000
3755	150200000	3813	152520000
3814	152560000	3826	153040000
3827	153080000	3927	157080000
3928	157120000	3938	157520000
3943	157720000	3966	158640000
3967	158680000	3984	159360000
3985	159400000	4121	164840000
4122	164880000	4137	165480000
4138	165520000	4143	165720000
4144	165760000	4149	165960000
4150	166000000	4175	167000000
