from.id	from.cord	to.id	to.cord
2	80000	73	2920000
74	2960000	132	5280000
133	5320000	181	7240000
182	7280000	363	14520000
364	14560000	409	16360000
410	16400000	471	18840000
472	18880000	525	21000000
526	21040000	564	22560000
565	22600000	602	24080000
603	24120000	649	25960000
650	26000000	683	27320000
684	27360000	709	28360000
710	28400000	809	32360000
810	32400000	829	33160000
830	33200000	919	36760000
920	36800000	964	38560000
965	38600000	1063	42520000
1064	42560000	1125	45000000
1126	45040000	1144	45760000
1145	45800000	1150	46000000
1151	46040000	1191	47640000
1192	47680000	1258	50320000
1259	50360000	1300	52000000
1301	52040000	1336	53440000
1337	53480000	1368	54720000
1369	54760000	1410	56400000
1411	56440000	1425	57000000
1426	57040000	1464	58560000
1465	58600000	1654	66160000
1656	66240000	1674	66960000
1675	67000000	1727	69080000
1728	69120000	1750	70000000
1751	70040000	1890	75600000
1897	75880000	1900	76000000
1901	76040000	1945	77800000
1946	77840000	1994	79760000
1995	79800000	2028	81120000
2029	81160000	2123	84920000
2124	84960000	2142	85680000
2143	85720000	2188	87520000
2189	87560000	2209	88360000
2210	88400000	2233	89320000
2234	89360000	2262	90480000
2338	93520000	2514	100560000
2515	100600000	2550	102000000
2551	102040000	2616	104640000
2617	104680000	2710	108400000
2711	108440000	2752	110080000
2753	110120000	2943	117720000
2944	117760000	2947	117880000
2948	117920000	2967	118680000
2968	118720000	3030	121200000
3031	121240000	3109	124360000
3110	124400000	3211	128440000
3212	128480000	3237	129480000
3238	129520000	3243	129720000
3245	129800000	3294	131760000
3295	131800000	3324	132960000
3326	133040000	3340	133600000
3341	133640000	3416	136640000
3417	136680000	3436	137440000
3437	137480000	3576	143040000
3577	143080000	3594	143760000
3595	143800000	3608	144320000
3609	144360000	3690	147600000
3691	147640000	3762	150480000
3763	150520000	3817	152680000
3818	152720000	3859	154360000
3860	154400000	3870	154800000
3872	154880000	3928	157120000
3929	157160000	3972	158880000
3973	158920000	4040	161600000
4041	161640000	4107	164280000
4108	164320000	4111	164440000
4153	166120000	4156	166240000
4215	168600000	4219	168760000
4338	173520000	4341	173640000
4404	176160000	4410	176400000
4416	176640000	4419	176760000
4426	177040000	4484	179360000
4485	179400000	4519	180760000
4520	180800000	4549	181960000
4550	182000000	4707	188280000
4708	188320000	4749	189960000
4750	190000000	4850	194000000
4851	194040000	4866	194640000
