from.id	from.cord	to.id	to.cord
6	240000	147	5880000
148	5920000	177	7080000
178	7120000	182	7280000
185	7400000	190	7600000
193	7720000	216	8640000
217	8680000	262	10480000
263	10520000	291	11640000
292	11680000	353	14120000
354	14160000	373	14920000
375	15000000	397	15880000
398	15920000	435	17400000
436	17440000	444	17760000
445	17800000	497	19880000
498	19920000	512	20480000
518	20720000	590	23600000
591	23640000	597	23880000
598	23920000	614	24560000
693	27720000	815	32600000
817	32680000	839	33560000
840	33600000	884	35360000
885	35400000	914	36560000
915	36600000	918	36720000
920	36800000	963	38520000
964	38560000	975	39000000
976	39040000	984	39360000
985	39400000	1008	40320000
1009	40360000	1017	40680000
1018	40720000	1032	41280000
1033	41320000	1060	42400000
1061	42440000	1074	42960000
1075	43000000	1089	43560000
1090	43600000	1094	43760000
1095	43800000	1101	44040000
1102	44080000	1213	48520000
1216	48640000	1263	50520000
1264	50560000	1275	51000000
1276	51040000	1282	51280000
1283	51320000	1307	52280000
1308	52320000	1333	53320000
1334	53360000	1348	53920000
1352	54080000	1381	55240000
1383	55320000	1387	55480000
