from.id	from.cord	to.id	to.cord
1	40000	38	1520000
40	1600000	60	2400000
61	2440000	95	3800000
96	3840000	116	4640000
117	4680000	131	5240000
132	5280000	153	6120000
154	6160000	171	6840000
172	6880000	200	8000000
201	8040000	221	8840000
222	8880000	345	13800000
346	13840000	354	14160000
355	14200000	420	16800000
421	16840000	438	17520000
439	17560000	501	20040000
502	20080000	541	21640000
542	21680000	583	23320000
584	23360000	618	24720000
620	24800000	643	25720000
736	29440000	741	29640000
747	29880000	750	30000000
792	31680000	795	31800000
813	32520000	816	32640000
841	33640000	872	34880000
873	34920000	897	35880000
898	35920000	947	37880000
948	37920000	975	39000000
976	39040000	1013	40520000
1014	40560000	1026	41040000
1027	41080000	1072	42880000
1073	42920000	1091	43640000
1092	43680000	1120	44800000
1124	44960000	1129	45160000
1132	45280000	1135	45400000
1136	45440000	1156	46240000
1157	46280000	1177	47080000
1180	47200000	1189	47560000
1190	47600000	1228	49120000
1229	49160000	1240	49600000
1241	49640000	1295	51800000
1296	51840000	1313	52520000
1314	52560000	1322	52880000
1323	52920000	1416	56640000
1418	56720000	1489	59560000
