from.id	from.cord	to.id	to.cord
0	0	79	3160000
80	3200000	100	4000000
101	4040000	170	6800000
171	6840000	208	8320000
209	8360000	215	8600000
216	8640000	226	9040000
227	9080000	247	9880000
248	9920000	306	12240000
307	12280000	341	13640000
342	13680000	354	14160000
355	14200000	384	15360000
462	18480000	470	18800000
472	18880000	476	19040000
487	19480000	490	19600000
516	20640000	526	21040000
528	21120000	544	21760000
551	22040000	558	22320000
561	22440000	578	23120000
580	23200000	587	23480000
590	23600000	593	23720000
597	23880000	632	25280000
638	25520000	641	25640000
650	26000000	665	26600000
666	26640000	737	29480000
738	29520000	804	32160000
805	32200000	819	32760000
820	32800000	888	35520000
889	35560000	945	37800000
946	37840000	998	39920000
999	39960000	1029	41160000
1030	41200000	1161	46440000
1162	46480000	1190	47600000
1191	47640000	1231	49240000
1232	49280000	1301	52040000
1305	52200000	1308	52320000
1309	52360000	1460	58400000
1461	58440000	1502	60080000
1503	60120000	1619	64760000
1620	64800000	1701	68040000
1702	68080000	1716	68640000
1717	68680000	1739	69560000
1740	69600000	1783	71320000
1784	71360000	1799	71960000
1800	72000000	1806	72240000
1808	72320000	1820	72800000
1821	72840000	1839	73560000
1840	73600000	1867	74680000
