from.id	from.cord	to.id	to.cord
5	200000	40	1600000
41	1640000	74	2960000
75	3000000	80	3200000
81	3240000	97	3880000
98	3920000	108	4320000
109	4360000	171	6840000
172	6880000	357	14280000
358	14320000	395	15800000
396	15840000	462	18480000
463	18520000	508	20320000
509	20360000	614	24560000
615	24600000	654	26160000
655	26200000	667	26680000
670	26800000	674	26960000
677	27080000	732	29280000
733	29320000	757	30280000
758	30320000	771	30840000
772	30880000	796	31840000
800	32000000	811	32440000
813	32520000	820	32800000
822	32880000	832	33280000
833	33320000	843	33720000
844	33760000	939	37560000
940	37600000	976	39040000
977	39080000	1034	41360000
1035	41400000	1079	43160000
1080	43200000	1116	44640000
1119	44760000	1158	46320000
1159	46360000	1197	47880000
1198	47920000	1259	50360000
1260	50400000	1348	53920000
1349	53960000	1413	56520000
1414	56560000	1438	57520000
1439	57560000	1451	58040000
1453	58120000	1469	58760000
1547	61880000	1552	62080000
1554	62160000	1702	68080000
1703	68120000	1820	72800000
1821	72840000	1998	79920000
1999	79960000	2046	81840000
2047	81880000	2288	91520000
2289	91560000	2328	93120000
2329	93160000	2345	93800000
2346	93840000	2352	94080000
2353	94120000	2391	95640000
2395	95800000	2423	96920000
2424	96960000	2482	99280000
2486	99440000	2516	100640000
2517	100680000	2538	101520000
2539	101560000	2565	102600000
2566	102640000	2587	103480000
2588	103520000	2773	110920000
2774	110960000	2795	111800000
2796	111840000	2829	113160000
2830	113200000	2880	115200000
2881	115240000	2903	116120000
2904	116160000	3070	122800000
3071	122840000	3160	126400000
3161	126440000	3183	127320000
3184	127360000	3231	129240000
3232	129280000	3386	135440000
3387	135480000	3412	136480000
3413	136520000	3417	136680000
3425	137000000	3428	137120000
3517	140680000	3520	140800000
3526	141040000	3529	141160000
3531	141240000	3534	141360000
3551	142040000	3556	142240000
3592	143680000	3595	143800000
3598	143920000	3601	144040000
3603	144120000	3606	144240000
3610	144400000	3613	144520000
3658	146320000	3665	146600000
3667	146680000	3672	146880000
3674	146960000	3677	147080000
3679	147160000	3684	147360000
3689	147560000	3692	147680000
3694	147760000	3697	147880000
3711	148440000	3721	148840000
3727	149080000	3730	149200000
3732	149280000	3739	149560000
3742	149680000	3802	152080000
3803	152120000	3838	153520000
3839	153560000	3923	156920000
3924	156960000	3938	157520000
3943	157720000	3965	158600000
3966	158640000	3983	159320000
3984	159360000	4120	164800000
4121	164840000	4131	165240000
4132	165280000	4142	165680000
4143	165720000	4173	166920000
