from.id	from.cord	to.id	to.cord
2	80000	78	3120000
79	3160000	132	5280000
133	5320000	181	7240000
182	7280000	224	8960000
225	9000000	354	14160000
355	14200000	416	16640000
417	16680000	460	18400000
461	18440000	535	21400000
536	21440000	563	22520000
564	22560000	601	24040000
602	24080000	649	25960000
650	26000000	685	27400000
686	27440000	784	31360000
785	31400000	847	33880000
848	33920000	926	37040000
927	37080000	979	39160000
980	39200000	1105	44200000
1106	44240000	1125	45000000
1126	45040000	1147	45880000
1148	45920000	1188	47520000
1189	47560000	1216	48640000
1217	48680000	1258	50320000
1259	50360000	1311	52440000
1312	52480000	1348	53920000
1349	53960000	1414	56560000
1415	56600000	1465	58600000
1466	58640000	1654	66160000
1656	66240000	1673	66920000
1674	66960000	1728	69120000
1729	69160000	1890	75600000
1895	75800000	1900	76000000
1901	76040000	1993	79720000
1994	79760000	2027	81080000
2028	81120000	2097	83880000
2098	83920000	2149	85960000
2150	86000000	2188	87520000
2189	87560000	2234	89360000
2235	89400000	2261	90440000
2338	93520000	2422	96880000
2428	97120000	2431	97240000
2451	98040000	2454	98160000
2457	98280000	2460	98400000
2487	99480000	2491	99640000
2496	99840000	2501	100040000
2504	100160000	2508	100320000
2513	100520000	2516	100640000
2517	100680000	2521	100840000
2529	101160000	2533	101320000
2593	103720000	2598	103920000
2600	104000000	2615	104600000
2617	104680000	2711	108440000
2712	108480000	2770	110800000
2771	110840000	2783	111320000
2784	111360000	2917	116680000
2918	116720000	2969	118760000
2970	118800000	3168	126720000
3169	126760000	3243	129720000
3245	129800000	3275	131000000
3276	131040000	3325	133000000
3327	133080000	3341	133640000
3342	133680000	3477	139080000
3478	139120000	3523	140920000
3524	140960000	3622	144880000
3623	144920000	3686	147440000
3687	147480000	3741	149640000
3742	149680000	3780	151200000
3781	151240000	3820	152800000
3821	152840000	4040	161600000
4041	161640000	4121	164840000
4122	164880000	4318	172720000
4319	172760000	4420	176800000
4421	176840000	4486	179440000
4487	179480000	4497	179880000
4498	179920000	4522	180880000
4523	180920000	4651	186040000
4652	186080000	4708	188320000
4709	188360000	4754	190160000
4755	190200000	4849	193960000
4850	194000000	4865	194600000
