from.id	from.cord	to.id	to.cord
500	20000000	504	20160000
510	20400000	515	20600000
557	22280000	564	22560000
566	22640000	581	23240000
590	23600000	713	28520000
723	28920000	728	29120000
730	29200000	759	30360000
772	30880000	811	32440000
822	32880000	866	34640000
868	34720000	1098	43920000
1100	44000000	1154	46160000
1155	46200000	1166	46640000
1167	46680000	1174	46960000
1175	47000000	1226	49040000
1227	49080000	1356	54240000
1357	54280000	1370	54800000
1371	54840000	1396	55840000
1397	55880000	1406	56240000
1407	56280000	1443	57720000
1444	57760000	1464	58560000
1465	58600000	1492	59680000
1493	59720000	1539	61560000
1540	61600000	1586	63440000
1587	63480000	1602	64080000
1603	64120000	1629	65160000
1630	65200000	1680	67200000
1681	67240000	1686	67440000
1687	67480000	1711	68440000
1712	68480000	1734	69360000
1735	69400000	1810	72400000
1811	72440000	1850	74000000
1851	74040000	1928	77120000
1929	77160000	1957	78280000
