from.id	from.cord	to.id	to.cord
0	0	7	280000
10	400000	16	640000
17	680000	40	1600000
41	1640000	57	2280000
58	2320000	75	3000000
76	3040000	91	3640000
92	3680000	123	4920000
124	4960000	173	6920000
174	6960000	209	8360000
210	8400000	240	9600000
241	9640000	267	10680000
268	10720000	324	12960000
325	13000000	387	15480000
388	15520000	424	16960000
425	17000000	454	18160000
455	18200000	473	18920000
478	19120000	539	21560000
542	21680000	556	22240000
632	25280000	638	25520000
641	25640000	658	26320000
661	26440000	677	27080000
679	27160000	683	27320000
685	27400000	688	27520000
699	27960000	704	28160000
746	29840000	757	30280000
758	30320000	852	34080000
853	34120000	862	34480000
870	34800000	920	36800000
921	36840000	943	37720000
944	37760000	995	39800000
996	39840000	1011	40440000
1012	40480000	1023	40920000
1024	40960000	1031	41240000
1032	41280000	1058	42320000
1059	42360000	1084	43360000
1085	43400000	1089	43560000
1091	43640000	1106	44240000
1121	44840000	1132	45280000
1133	45320000	1158	46320000
1159	46360000	1187	47480000
1189	47560000	1207	48280000
1208	48320000	1211	48440000
1213	48520000	1279	51160000
1280	51200000	1328	53120000
1329	53160000	1342	53680000
1343	53720000	1373	54920000
1374	54960000	1422	56880000
1423	56920000	1470	58800000
1474	58960000	1503	60120000
1504	60160000	1529	61160000
1530	61200000	1669	66760000
1671	66840000	1723	68920000
1724	68960000	1734	69360000
1735	69400000	1748	69920000
1749	69960000	1786	71440000
1787	71480000	1926	77040000
