from.id	from.cord	to.id	to.cord
2	80000	8	320000
9	360000	56	2240000
57	2280000	78	3120000
79	3160000	215	8600000
220	8800000	236	9440000
237	9480000	309	12360000
310	12400000	353	14120000
354	14160000	369	14760000
386	15440000	390	15600000
394	15760000	408	16320000
421	16840000	425	17000000
426	17040000	432	17280000
438	17520000	447	17880000
448	17920000	457	18280000
468	18720000	482	19280000
483	19320000	493	19720000
494	19760000	514	20560000
515	20600000	534	21360000
537	21480000	545	21800000
548	21920000	560	22400000
567	22680000	571	22840000
573	22920000	577	23080000
589	23560000	592	23680000
594	23760000	602	24080000
603	24120000	643	25720000
652	26080000	662	26480000
663	26520000	693	27720000
694	27760000	708	28320000
713	28520000	716	28640000
720	28800000	724	28960000
725	29000000	735	29400000
739	29560000	748	29920000
749	29960000	754	30160000
758	30320000	781	31240000
782	31280000	797	31880000
833	33320000	840	33600000
843	33720000	850	34000000
854	34160000	881	35240000
1159	46360000	1609	64360000
1610	64400000	1641	65640000
1642	65680000	1737	69480000
1738	69520000	1749	69960000
1750	70000000	1762	70480000
1763	70520000	1776	71040000
1777	71080000	1795	71800000
1796	71840000	1807	72280000
1808	72320000	1900	76000000
1901	76040000	1915	76600000
